                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.2363,                0.91842,                 1.1576,                0.65799,                0.59847,                0.64115,                  0.381,                 1.3867,                 1.0149,                 1.3543,              0.0099574,              0.0099574,              0.0099574
                     45,                 1.2055,                0.90653,                 1.1562,                0.66484,                0.59607,                0.64723,                0.37766,                 1.4371,                 1.0048,                 1.4098,              0.0099564,              0.0099564,              0.0099564
                     46,                 1.2252,                0.88601,                 1.1763,                 0.6669,                0.59367,                 0.6344,                 0.3916,                 1.3072,                0.96976,                 1.3035,              0.0099555,              0.0099555,              0.0099555
                     47,                 1.2682,                0.88114,                  1.171,                0.67738,                0.59246,                0.65527,                0.39362,                 1.3363,                0.94019,                 1.3299,              0.0099545,              0.0099545,              0.0099545
                     48,                 1.2229,                0.90775,                 1.1607,                0.66335,                0.61498,                0.65666,                0.40707,                 1.2555,                 0.9611,                 1.2767,              0.0099535,              0.0099535,              0.0099535
                     49,                 1.2144,                0.88297,                 1.1408,                0.66377,                0.61603,                0.66056,                 0.4002,                 1.3058,                 0.9425,                  1.316,              0.0099525,              0.0099525,              0.0099525
                     50,                 1.2045,                0.87999,                 1.1328,                0.65858,                0.61108,                0.65614,                0.40976,                 1.3087,                0.96254,                  1.301,              0.0099515,              0.0099515,              0.0099515
                     51,                 1.2268,                0.89448,                 1.1644,                0.65313,                0.60973,                0.66259,                 0.3772,                 1.5215,                0.99965,                 1.4843,              0.0099505,              0.0099505,              0.0099505
                     52,                 1.1869,                0.85854,                 1.1423,                 0.6742,                0.59877,                0.65346,                 0.4003,                 1.3077,                0.95328,                  1.311,              0.0099495,              0.0099495,              0.0099495
                     53,                 1.2536,                 0.9146,                 1.1542,                0.67001,                0.59126,                0.64367,                0.39375,                 1.3659,                0.98167,                 1.3607,              0.0099485,              0.0099485,              0.0099485
                     54,                 1.2151,                0.89189,                 1.1423,                 0.6747,                0.60024,                0.65697,                0.41698,                 1.2403,                0.93248,                 1.2671,              0.0099475,              0.0099475,              0.0099475
                     55,                 1.2397,                0.88351,                 1.1582,                0.71455,                0.54848,                0.60736,                0.36638,                 1.3678,                0.98182,                 1.3195,              0.0099465,              0.0099465,              0.0099465
                     56,                 1.2181,                0.90864,                 1.1521,                0.67234,                0.59045,                0.63565,                0.40092,                 1.2666,                0.97897,                 1.2838,              0.0099456,              0.0099456,              0.0099456
                     57,                 1.1934,                0.87748,                 1.1594,                0.63368,                0.62879,                 0.6554,                0.40264,                  1.243,                0.96467,                  1.263,              0.0099446,              0.0099446,              0.0099446
                     58,                  1.208,                0.92287,                 1.1555,                0.68714,                0.58617,                0.63411,                0.39651,                 1.2775,                0.97052,                 1.2756,              0.0099436,              0.0099436,              0.0099436
                     59,                  1.196,                0.87584,                 1.1613,                0.68029,                0.60237,                0.65851,                 0.4018,                 1.3059,                0.92081,                 1.2985,              0.0099426,              0.0099426,              0.0099426
                     60,                 1.2135,                0.87221,                 1.1447,                0.68523,                0.60223,                0.66678,                0.40436,                 1.3671,                0.92242,                 1.3418,              0.0099416,              0.0099416,              0.0099416
                     61,                 1.1508,                  0.879,                 1.1409,                0.64371,                0.63494,                0.65806,                0.41719,                 1.2664,                0.93897,                  1.292,              0.0099406,              0.0099406,              0.0099406
                     62,                 1.2078,                0.88456,                 1.1503,                0.66511,                0.61528,                0.66569,                0.42051,                 1.2267,                0.92591,                 1.2563,              0.0099396,              0.0099396,              0.0099396
                     63,                 1.1834,                0.84299,                  1.124,                0.67515,                0.60237,                0.65684,                0.40876,                 1.2502,                0.95607,                 1.2663,              0.0099386,              0.0099386,              0.0099386
                     64,                 1.1722,                0.88154,                 1.1288,                0.67298,                0.58877,                0.63095,                0.40106,                 1.2472,                0.95036,                 1.2647,              0.0099376,              0.0099376,              0.0099376
                     65,                 1.1675,                 0.8656,                 1.1533,                0.65916,                0.60793,                0.65016,                0.39485,                 1.3053,                 0.9338,                 1.3118,              0.0099366,              0.0099366,              0.0099366
                     66,                 1.1619,                0.83829,                 1.1417,                0.66129,                0.65341,                 0.6832,                0.43335,                 1.2442,                0.91864,                 1.2733,              0.0099357,              0.0099357,              0.0099357
                     67,                 1.1579,                0.84604,                 1.1393,                0.66863,                0.62954,                0.67493,                0.40537,                 1.3291,                 0.9522,                 1.3174,              0.0099347,              0.0099347,              0.0099347
                     68,                  1.179,                0.85659,                 1.1457,                0.66809,                0.60282,                0.64675,                0.41024,                 1.2516,                0.93681,                 1.2748,              0.0099337,              0.0099337,              0.0099337
                     69,                 1.1577,                0.84425,                 1.1289,                0.63291,                0.63374,                0.65519,                0.39711,                 1.3564,                0.98577,                 1.3708,              0.0099327,              0.0099327,              0.0099327
                     70,                 1.1685,                0.84411,                 1.1527,                0.66913,                0.62504,                0.67117,                0.40886,                 1.3003,                0.93867,                 1.2965,              0.0099317,              0.0099317,              0.0099317
                     71,                 1.1326,                0.83424,                 1.1181,                0.67587,                0.60687,                 0.6625,                 0.4164,                 1.2384,                0.91467,                  1.261,              0.0099307,              0.0099307,              0.0099307
                     72,                 1.1357,                0.83478,                 1.1348,                0.68417,                0.58886,                0.64731,                0.39125,                 1.3353,                0.96647,                 1.3337,              0.0099297,              0.0099297,              0.0099297
                     73,                 1.1531,                0.84289,                  1.134,                0.67263,                0.59472,                0.64384,                0.40619,                 1.2889,                0.94598,                  1.308,              0.0099287,              0.0099287,              0.0099287
                     74,                 1.1594,                 0.8513,                 1.1176,                 0.6679,                0.61258,                0.66137,                0.41734,                 1.2343,                0.92022,                   1.27,              0.0099277,              0.0099277,              0.0099277
                     75,                 1.1403,                0.83247,                 1.1181,                0.66144,                0.60507,                 0.6472,                0.41245,                 1.2444,                0.95484,                 1.2745,              0.0099267,              0.0099267,              0.0099267
                     76,                 1.1563,                 0.8466,                 1.1199,                0.67705,                0.58226,                 0.6358,                0.40778,                 1.2297,                0.96218,                 1.2666,              0.0099258,              0.0099258,              0.0099258
                     77,                 1.1314,                0.82338,                 1.1265,                0.65591,                 0.6149,                 0.6547,                0.39744,                 1.3526,                0.95146,                 1.3374,              0.0099248,              0.0099248,              0.0099248
                     78,                 1.1499,                0.81905,                 1.1292,                0.65819,                0.61183,                0.65454,                0.40212,                 1.3025,                0.97426,                 1.3032,              0.0099238,              0.0099238,              0.0099238
                     79,                 1.1686,                0.86428,                 1.1327,                0.66554,                 0.6204,                0.66803,                0.40707,                 1.2941,                0.92684,                 1.2956,              0.0099228,              0.0099228,              0.0099228
                     80,                 1.1444,                 0.8309,                 1.1128,                0.67529,                0.59593,                0.65077,                0.39924,                 1.3084,                0.93555,                  1.304,              0.0099218,              0.0099218,              0.0099218
                     81,                 1.1057,                0.80404,                 1.1138,                0.63795,                 0.6462,                0.67117,                0.41665,                 1.2378,                0.93645,                 1.2643,              0.0099208,              0.0099208,              0.0099208
                     82,                  1.129,                0.81895,                 1.1054,                0.67205,                0.59612,                0.65011,                0.40325,                 1.2532,                0.93772,                 1.2728,              0.0099198,              0.0099198,              0.0099198
                     83,                 1.1175,                 0.8011,                 1.1076,                0.64001,                0.64665,                0.66302,                0.41537,                  1.237,                0.93483,                 1.2668,              0.0099188,              0.0099188,              0.0099188
                     84,                 1.1098,                0.77344,                 1.1004,                0.69313,                0.58346,                0.65067,                0.41167,                 1.2616,                0.92826,                 1.2856,              0.0099178,              0.0099178,              0.0099178
                     85,                 1.1237,                0.80298,                 1.1016,                0.66556,                0.60237,                0.65168,                0.39849,                 1.2897,                0.94073,                 1.3018,              0.0099168,              0.0099168,              0.0099168
                     86,                 1.1317,                 0.8097,                 1.1123,                0.66719,                0.61168,                0.66157,                0.41062,                  1.262,                0.97861,                 1.2789,              0.0099159,              0.0099159,              0.0099159
                     87,                 1.1178,                0.82209,                 1.1007,                0.67699,                0.61441,                0.65744,                0.39248,                 1.3893,                0.95001,                 1.3838,              0.0099149,              0.0099149,              0.0099149
                     88,                 1.0908,                0.79992,                  1.092,                0.64335,                 0.6426,                0.66306,                0.39883,                 1.3166,                0.95708,                 1.3122,              0.0099139,              0.0099139,              0.0099139
                     89,                 1.1444,                0.79494,                  1.098,                0.64509,                 0.6406,                0.67023,                0.41053,                 1.2965,                0.94915,                 1.2911,              0.0099129,              0.0099129,              0.0099129
                     90,                 1.0616,                0.76646,                 1.0954,                0.65914,                0.63494,                0.66142,                0.40348,                 1.2991,                 0.9383,                 1.3084,              0.0099119,              0.0099119,              0.0099119
                     91,                 1.0974,                0.80283,                 1.1013,                0.66645,                0.61543,                0.66608,                0.41686,                 1.2267,                0.91843,                 1.2688,              0.0099109,              0.0099109,              0.0099109
